# h0_day_facts v1 | field=SIM-SEARCH uncapped flat0.01 ea_catchup cfg={'CAPR': 1.0, 'A': 1.0, 'D': 1.0, 'SLOPE': 0.0005, 'EMA_P': 2880, 'SLOPE_B': 1440, 'allow_short': True, 'spread_mult': 1.0} | features_sha256=ed49e6cd77b1cf578f94ea5a708ab70d5de3ab693c3837f966dad2b22d8ddb5c | MED-1: ห้ามเรียก edge จากสนามนี้จนผ่าน capped+real-tick confirm
date,dow,status,bars,sess_bars,max_gap_min,first_sess_min,last_sess_min,days_since_prev,prev_ok,warmup_incomplete,asian_bars,asian_width,overnight_gap,prev_range,rv_prev,rv_pct250,range_exp,slope_08,slope_pct250,traded,entry_time,pnl,reason,dir,R,exit_date,cross_day
2012-01-03,1,ok,1376,1376,2,60,1439,4,1,0,417,21.32,4.62,36.05,0.0124038,69.2,1.1383,0.00489843,74.8,1,08:08,14.42,eod,1,21.32,2012-01-03,0
2012-01-04,2,ok,1378,1377,3,60,1439,1,1,0,420,15.72,-0.05,41.3,0.0115549,63.6,1.27175,0.0127236,96,1,10:13,-15.75,stop,1,15.72,2012-01-04,0
2012-01-05,3,ok,1378,1378,2,60,1439,1,1,0,420,11.88,0.32,25.82,0.0126467,69.6,0.75453,0.00963448,92.4,1,08:59,-11.91,stop,1,11.88,2012-01-05,0
2012-01-06,4,ok,1378,1377,2,60,1439,1,1,0,419,11.1,-0.21,28.95,0.0137684,74.4,0.891455,0.00695142,87.2,1,16:30,-11.13,stop,1,11.1,2012-01-06,0
2012-01-09,0,ok,1379,1379,1,61,1439,3,1,0,419,10.74,-1.83,22.72,0.0127111,70,0.699615,0.00198867,56,1,09:27,-6.81,eod,1,10.74,2012-01-09,0
2012-01-10,1,ok,1380,1379,2,60,1439,1,1,0,420,13.32,-0.64,18.76,0.0106123,53.6,0.577675,0.00018985,39.6,1,10:45,7.86,eod,1,13.32,2012-01-10,0
2012-01-11,2,ok,1379,1378,3,60,1439,1,1,0,420,8.18,-0.49,32.06,0.0100842,48,1.04396,0.00695183,87.2,1,08:37,2.76,eod,1,8.18,2012-01-11,0
2012-01-12,3,ok,1378,1377,3,60,1439,1,1,0,417,5.75,-0.34,17.05,0.00975475,45.2,0.528436,0.00619345,80.8,1,08:13,9.78,stop,1,5.75,2012-01-12,0
2012-01-13,4,ok,1376,1376,2,60,1439,1,1,0,418,14.6,-1.47,21.9,0.0091099,35.6,0.717915,0.00487436,71.2,0,,,,,,,
2012-01-16,0,short,1079,1079,3,60,1140,3,1,0,420,10.44,-4.64,24.29,0.0108979,56.8,0.877846,-0.00189118,27.2,0,,,,,,,
2012-01-17,1,ok,1379,1379,2,60,1439,1,0,0,419,17.53,-2.24,15.6,0.00742531,14,0.597587,0.00205478,55.6,1,08:12,-7.93,eod,1,17.53,2012-01-17,0
2012-01-18,2,ok,1379,1378,2,60,1439,1,1,0,420,14.42,0,26.13,0.0096748,44,1.00096,0.00471368,70.4,1,09:11,-14.45,stop,1,14.42,2012-01-18,0
2012-01-19,3,ok,1374,1373,3,60,1439,1,1,0,419,10.44,0.06,19.84,0.0112004,59.6,0.763811,0.00262346,57.6,1,10:58,-10.47,stop,1,10.44,2012-01-19,0
2012-01-20,4,ok,1379,1378,2,60,1439,1,1,0,419,4.79,-0.01,20.92,0.00968296,44,0.814325,0.000982758,43.2,1,09:13,-4.82,stop,1,4.79,2012-01-20,0
2012-01-23,0,ok,1370,1370,4,60,1439,3,1,0,420,10.49,-1.63,22.03,0.00895145,33.6,0.879266,0.00176691,52.4,1,11:28,3.81,eod,1,10.49,2012-01-23,0
2012-01-24,1,ok,1378,1378,2,60,1439,1,1,0,419,8.85,-0.2,18.86,0.00899517,34,0.802382,0.00597128,80,0,,,,,,,
2012-01-25,2,ok,1379,1378,3,60,1439,1,1,0,418,4.05,-0.07,18.07,0.00846277,26.8,0.807598,-0.00052109,33.2,1,11:31,8.57,stop,-1,4.05,2012-01-25,0
2012-01-26,3,ok,1376,1375,2,60,1439,1,1,0,417,7.92,-0.26,64.02,0.0124033,67.6,2.86123,0.00756638,88,1,09:06,-7.95,stop,1,7.92,2012-01-26,0
2012-01-27,4,ok,1320,1320,2,60,1380,1,1,0,419,10.01,0.4,27.5,0.0115248,62.4,1.16996,0.0145804,96.4,1,11:50,7.96,eod,1,10.01,2012-01-27,0
2012-01-30,0,ok,1380,1380,1,60,1439,3,1,0,420,9.9,-1.51,24.09,0.00933593,39.2,0.961485,0.00948254,91.6,0,,,,,,,
2012-01-31,1,ok,1380,1379,2,60,1439,1,1,0,419,8.55,0.03,23.77,0.00840332,26.4,0.982637,0.00400472,65.2,1,08:34,1,stop,1,8.55,2012-01-31,0
2012-02-01,2,ok,1380,1380,1,60,1439,1,1,0,420,6.06,-0.57,21.47,0.0100019,47.6,0.8972,0.00446443,66.4,1,10:24,3.37,stop,1,6.06,2012-02-01,0
2012-02-02,3,ok,1380,1380,1,60,1439,1,1,0,420,8.75,0.42,18.57,0.00932655,38.8,0.798881,0.00432153,66.4,1,10:37,-8.78,stop,1,8.75,2012-02-02,0
2012-02-03,4,ok,1381,1380,1,60,1439,1,1,0,420,4.19,-0.65,20.06,0.00910169,35.6,0.896536,0.00472171,68.8,1,08:26,-4.22,stop,1,4.19,2012-02-03,0
2012-02-06,0,ok,1380,1380,1,60,1439,3,1,0,420,11.88,1.99,39.75,0.0113383,60.4,1.8097,-0.00297396,20.4,1,10:31,0.59,stop,-1,11.88,2012-02-06,0
2012-02-07,1,hole,1318,1317,61,60,1439,1,1,0,418,5.75,0,26.37,0.0104343,50.4,1.20055,-0.00829056,8.8,1,12:30,1.09,stop,-1,5.75,2012-02-07,0
2012-02-08,2,ok,1381,1380,1,60,1439,1,0,0,420,7.02,-0.39,39.51,0.00977186,44.8,1.79877,0.00212881,53.6,1,08:28,-7.05,stop,1,7.02,2012-02-08,0
2012-02-09,3,ok,1381,1380,1,60,1439,1,1,0,420,10.63,-0.26,28.08,0.0100309,47.6,1.2784,0.00112604,44.4,1,08:05,3.47,stop,1,10.63,2012-02-09,0
2012-02-10,4,ok,1381,1380,1,60,1439,1,1,0,420,5.98,-0.31,26.75,0.011703,63.6,1.16812,-0.000444052,33.6,1,09:36,6.65,stop,-1,5.98,2012-02-10,0
2012-02-13,0,short,1369,1369,2,70,1439,3,1,0,410,9.9,6.52,29.96,0.0111558,58.4,1.3083,-0.00467569,15.2,1,16:35,-5.44,eod,-1,9.9,2012-02-13,0
2012-02-14,1,ok,1381,1380,1,60,1439,1,0,0,420,7.81,-0.3,17.23,0.00865835,28,0.720017,-0.00161221,26.8,1,10:26,-8.18,stop,-1,7.81,2012-02-14,0
2012-02-15,2,ok,1380,1379,2,60,1439,1,1,0,420,8.69,-0.16,15.68,0.00961306,41.6,0.655244,-0.00156737,27.2,1,19:57,1.19,eod,1,8.69,2012-02-15,0
2012-02-16,3,ok,1381,1380,1,60,1439,1,1,0,420,9.66,-0.2,18.98,0.00899238,32,0.793147,0.0017753,52,1,17:41,-10.05,stop,-1,9.66,2012-02-16,0
2012-02-17,4,ok,1381,1380,1,60,1439,1,1,0,420,7.41,0.03,24.57,0.0101358,47.6,1.07293,1.3971e-05,36.8,1,09:50,-7.44,stop,1,7.41,2012-02-17,0
2012-02-20,0,ok,1200,1200,31,60,1421,3,1,0,420,11.14,3.59,18.76,0.00776272,14.8,0.819214,0.00211344,54.8,0,,,,,,,
2012-02-21,1,ok,1380,1380,1,60,1439,1,1,0,420,9.3,-1.06,11.14,0.00596582,1.6,0.486463,0.00266259,58,1,08:20,18.6,eod,1,9.3,2012-02-21,0
2012-02-22,2,ok,1379,1379,2,60,1439,1,1,0,420,5.6,0.65,29.38,0.00791128,16.4,1.28297,0.00718541,86.8,0,,,,,,,
2012-02-23,3,ok,1381,1380,1,60,1439,1,1,0,420,4.03,-0.24,32.4,0.00836864,23.6,1.35395,0.00816767,88.4,1,10:28,-4.06,stop,1,4.03,2012-02-23,0
