# h0_dcfeat v2 (+os_canon SE M4; v1 faff68a3 superseded) | delta=0.5*asian_width ex-ante | window 08:00→close(j) | DC def verified from arXiv 0809.1040 full text | reads day_facts date/status/traded/entry_time/dir + h0_features asian_width ONLY
date,dc_mode_aligned,os_units,os_canon,n_dc,dc_state,dc_state_canon
2012-01-03,-1,,,0,UNDEF,UNDEF
2012-01-04,1,0.4326,0.4644,1,FRESH,FRESH
2012-01-05,-1,,,0,UNDEF,UNDEF
2012-01-06,1,1.3261,1.4793,6,MID,MID
2012-01-09,-1,,,0,UNDEF,UNDEF
2012-01-10,1,0.0000,0.0706,1,FRESH,FRESH
2012-01-11,-1,,,0,UNDEF,UNDEF
2012-01-12,-1,,,0,UNDEF,UNDEF
2012-01-13,,,,,,
2012-01-16,,,,,,
2012-01-17,-1,,,0,UNDEF,UNDEF
2012-01-18,-1,,,0,UNDEF,UNDEF
2012-01-19,1,0.0000,0.0690,1,FRESH,FRESH
2012-01-20,1,0.3257,0.3361,1,FRESH,FRESH
2012-01-23,1,0.3031,0.3174,2,FRESH,FRESH
2012-01-24,,,,,,
2012-01-25,1,1.9457,1.9778,2,MID,MID
2012-01-26,1,0.0000,0.2929,1,FRESH,FRESH
2012-01-27,1,0.5295,0.5724,1,FRESH,FRESH
2012-01-30,,,,,,
2012-01-31,-1,,,0,UNDEF,UNDEF
2012-02-01,1,1.6931,1.7063,2,MID,MID
2012-02-02,1,0.6651,0.6937,1,FRESH,FRESH
2012-02-03,-1,,,0,UNDEF,UNDEF
2012-02-06,1,0.4377,0.4478,1,FRESH,FRESH
2012-02-07,1,3.0435,3.1217,2,EXTENDED,EXTENDED
2012-02-08,-1,,,0,UNDEF,UNDEF
2012-02-09,-1,,,0,UNDEF,UNDEF
2012-02-10,1,0.4950,0.5217,1,FRESH,FRESH
2012-02-13,1,1.7576,1.8444,4,MID,MID
2012-02-14,1,0.0000,0.5672,2,FRESH,FRESH
2012-02-15,0,0.0483,0.2428,7,OPPOSED,OPPOSED
2012-02-16,0,1.7164,1.7308,5,OPPOSED,OPPOSED
2012-02-17,1,-0.1026,-0.1012,1,FRESH,FRESH
2012-02-20,,,,,,
2012-02-21,-1,,,0,UNDEF,UNDEF
2012-02-22,,,,,,
2012-02-23,1,1.4839,1.6203,3,MID,MID
2012-02-24,1,1.7385,1.7735,3,MID,MID
2012-02-27,,,,,,
2012-02-28,,,,,,
2012-02-29,1,0.4371,0.9790,2,FRESH,FRESH
2012-03-01,,,,,,
2012-03-02,1,0.0563,0.1049,1,FRESH,FRESH
2012-03-05,-1,,,0,UNDEF,UNDEF
2012-03-06,-1,,,0,UNDEF,UNDEF
2012-03-07,1,0.2280,0.2371,3,FRESH,FRESH
2012-03-08,,,,,,
2012-03-09,1,5.5000,5.5045,5,EXTENDED,EXTENDED
2012-03-12,,,,,,
2012-03-13,0,2.0482,2.3601,4,OPPOSED,OPPOSED
2012-03-14,-1,,,0,UNDEF,UNDEF
2012-03-15,,,,,,
