# h0_msfeat v1 | window=1440min fixed (SLOPE_B) | delta=0.5*aw | as-of close(j-1) sequence-position | swings=DC-confirmed extremes | reads day_facts date/status/traded/entry_time/dir + features aw ONLY
date,ms_structure,ms_state,n_swings
2012-01-03,UNDEF,UNDEF,1
2012-01-04,MIXED,MIXED,7
2012-01-05,UP,ALIGNED,7
2012-01-06,MIXED,MIXED,13
2012-01-09,UNDEF,UNDEF,2
2012-01-10,DOWN,OPPOSED,6
2012-01-11,MIXED,MIXED,12
2012-01-12,MIXED,MIXED,27
2012-01-13,,,
2012-01-16,,,
2012-01-17,UNDEF,UNDEF,1
2012-01-18,DOWN,OPPOSED,5
2012-01-19,UP,ALIGNED,6
2012-01-20,MIXED,MIXED,26
2012-01-23,UNDEF,UNDEF,3
2012-01-24,,,
2012-01-25,MIXED,MIXED,29
2012-01-26,DOWN,OPPOSED,11
2012-01-27,MIXED,MIXED,17
2012-01-30,,,
2012-01-31,DOWN,OPPOSED,10
2012-02-01,DOWN,OPPOSED,24
2012-02-02,UP,ALIGNED,9
2012-02-03,DOWN,OPPOSED,29
2012-02-06,UNDEF,UNDEF,2
2012-02-07,UP,OPPOSED,24
2012-02-08,MIXED,MIXED,13
2012-02-09,MIXED,MIXED,8
2012-02-10,UP,OPPOSED,23
2012-02-13,MIXED,MIXED,5
2012-02-14,DOWN,ALIGNED,10
2012-02-15,MIXED,MIXED,8
2012-02-16,DOWN,ALIGNED,8
2012-02-17,UP,ALIGNED,8
2012-02-20,,,
2012-02-21,MIXED,MIXED,4
2012-02-22,,,
2012-02-23,UP,ALIGNED,26
2012-02-24,DOWN,OPPOSED,16
2012-02-27,,,
2012-02-28,,,
2012-02-29,UP,ALIGNED,11
2012-03-01,,,
2012-03-02,MIXED,MIXED,19
2012-03-05,UNDEF,UNDEF,3
2012-03-06,UP,OPPOSED,9
2012-03-07,MIXED,MIXED,21
2012-03-08,,,
2012-03-09,DOWN,OPPOSED,9
2012-03-12,,,
2012-03-13,MIXED,MIXED,8
2012-03-14,DOWN,ALIGNED,13
2012-03-15,,,
2012-03-16,UP,OPPOSED,14
2012-03-19,UP,ALIGNED,9
2012-03-20,UNDEF,UNDEF,3
2012-03-21,UP,OPPOSED,12
2012-03-22,MIXED,MIXED,11
2012-03-23,,,
2012-03-26,DOWN,OPPOSED,5
2012-03-27,DOWN,OPPOSED,23
2012-03-28,DOWN,OPPOSED,17
2012-03-29,DOWN,ALIGNED,15
2012-03-30,,,
2012-04-02,MIXED,MIXED,5
2012-04-03,,,
2012-04-04,MIXED,MIXED,15
2012-04-05,,,
2012-04-06,,,
2012-04-09,UNDEF,UNDEF,2
2012-04-10,DOWN,OPPOSED,5
2012-04-11,DOWN,OPPOSED,18
2012-04-12,MIXED,MIXED,22
2012-04-13,DOWN,OPPOSED,10
2012-04-16,UNDEF,UNDEF,1
2012-04-17,MIXED,MIXED,18
2012-04-18,UP,OPPOSED,16
2012-04-19,MIXED,MIXED,11
2012-04-20,UP,OPPOSED,22
2012-04-23,UP,OPPOSED,4
2012-04-24,DOWN,ALIGNED,31
2012-04-25,MIXED,MIXED,31
2012-04-26,UP,ALIGNED,18
2012-04-27,MIXED,MIXED,26
2012-04-30,MIXED,MIXED,7
2012-05-01,DOWN,OPPOSED,24
2012-05-02,DOWN,ALIGNED,8
2012-05-03,UP,OPPOSED,9
2012-05-04,MIXED,MIXED,35
2012-05-07,MIXED,MIXED,7
2012-05-08,MIXED,MIXED,34
2012-05-09,UNDEF,UNDEF,3
2012-05-10,DOWN,ALIGNED,11
2012-05-11,UNDEF,UNDEF,3
2012-05-14,UNDEF,UNDEF,3
2012-05-15,MIXED,MIXED,15
2012-05-16,DOWN,ALIGNED,4
2012-05-17,,,
2012-05-18,UP,ALIGNED,44
2012-05-21,,,
2012-05-22,,,
2012-05-23,DOWN,ALIGNED,5
2012-05-24,DOWN,ALIGNED,21
2012-05-25,,,
2012-05-28,UP,ALIGNED,4
2012-05-29,DOWN,OPPOSED,6
2012-05-30,MIXED,MIXED,11
2012-05-31,UP,ALIGNED,27
2012-06-01,DOWN,ALIGNED,11
2012-06-04,DOWN,OPPOSED,4
2012-06-05,,,
2012-06-06,UNDEF,UNDEF,3
2012-06-07,MIXED,MIXED,20
2012-06-08,,,
2012-06-11,UNDEF,UNDEF,3
2012-06-12,MIXED,MIXED,11
2012-06-13,MIXED,MIXED,91
2012-06-14,UP,ALIGNED,11
2012-06-15,MIXED,MIXED,17
2012-06-18,,,
2012-06-19,UP,ALIGNED,24
2012-06-20,MIXED,MIXED,19
2012-06-21,DOWN,ALIGNED,15
2012-06-22,DOWN,ALIGNED,19
2012-06-25,UNDEF,UNDEF,3
2012-06-26,,,
2012-06-27,MIXED,MIXED,25
2012-06-28,MIXED,MIXED,19
2012-06-29,,,
2012-07-02,UP,ALIGNED,6
2012-07-03,UP,ALIGNED,7
2012-07-04,,,
2012-07-05,UP,ALIGNED,9
2012-07-06,DOWN,ALIGNED,25
2012-07-09,,,
2012-07-10,DOWN,ALIGNED,18
2012-07-11,,,
2012-07-12,DOWN,ALIGNED,10
2012-07-13,,,
2012-07-16,UP,ALIGNED,6
2012-07-17,UP,ALIGNED,10
2012-07-18,MIXED,MIXED,6
2012-07-19,,,
2012-07-20,UP,ALIGNED,23
2012-07-23,UP,OPPOSED,12
2012-07-24,MIXED,MIXED,37
2012-07-25,UP,ALIGNED,12
2012-07-26,DOWN,OPPOSED,24
2012-07-27,MIXED,MIXED,23
2012-07-30,,,
2012-07-31,MIXED,MIXED,8
2012-08-01,MIXED,MIXED,21
2012-08-02,UP,OPPOSED,32
2012-08-03,UP,OPPOSED,44
2012-08-06,UNDEF,UNDEF,1
2012-08-07,MIXED,MIXED,20
2012-08-08,,,
2012-08-09,,,
2012-08-10,,,
2012-08-13,UNDEF,UNDEF,3
2012-08-14,MIXED,MIXED,13
2012-08-15,MIXED,MIXED,21
2012-08-16,UP,OPPOSED,21
2012-08-17,DOWN,OPPOSED,11
2012-08-20,UNDEF,UNDEF,1
2012-08-21,MIXED,MIXED,10
2012-08-22,MIXED,MIXED,18
2012-08-23,DOWN,OPPOSED,5
2012-08-24,UP,ALIGNED,10
2012-08-27,,,
2012-08-28,,,
2012-08-29,,,
2012-08-30,MIXED,MIXED,16
2012-08-31,MIXED,MIXED,17
2012-09-03,DOWN,OPPOSED,6
2012-09-04,DOWN,OPPOSED,7
2012-09-05,,,
2012-09-06,UP,ALIGNED,8
2012-09-07,MIXED,MIXED,4
2012-09-10,,,
2012-09-11,MIXED,MIXED,8
2012-09-12,MIXED,MIXED,8
2012-09-13,UP,OPPOSED,22
2012-09-14,,,
2012-09-17,,,
2012-09-18,,,
2012-09-19,MIXED,MIXED,13
2012-09-20,DOWN,ALIGNED,6
2012-09-21,UNDEF,UNDEF,3
2012-09-24,UNDEF,UNDEF,1
2012-09-25,UP,OPPOSED,25
2012-09-26,UP,OPPOSED,10
2012-09-27,,,
2012-09-28,MIXED,MIXED,14
2012-10-01,UNDEF,UNDEF,2
2012-10-02,MIXED,MIXED,18
2012-10-03,DOWN,OPPOSED,22
2012-10-04,MIXED,MIXED,13
2012-10-05,,,
2012-10-08,,,
2012-10-09,UP,OPPOSED,8
2012-10-10,MIXED,MIXED,15
2012-10-11,,,
2012-10-12,UP,ALIGNED,17
2012-10-15,UNDEF,UNDEF,3
2012-10-16,,,
2012-10-17,DOWN,OPPOSED,5
2012-10-18,,,
2012-10-19,UP,OPPOSED,5
2012-10-22,,,
2012-10-23,MIXED,MIXED,11
2012-10-24,MIXED,MIXED,9
2012-10-25,,,
2012-10-26,,,
2012-10-29,,,
2012-10-30,,,
2012-10-31,,,
2012-11-01,UP,ALIGNED,17
2012-11-02,UNDEF,UNDEF,2
2012-11-05,UNDEF,UNDEF,2
2012-11-06,,,
2012-11-07,UNDEF,UNDEF,3
