# h0_tickfeat v2 (SIGNAL BAR j — Engineer BLOCKING-1 fix; v1 f1bdba72 โมฆะ) | ROLL_D=60 MIN_OBS=30 | Dukascopy M1 col6 | baseline ok-days past-only | reads day_facts date/status/traded/entry_time + h0_features asian_width ONLY (no P&L)
date,tick_sig,rel_tick_sig,rjR,asian_ticks,rel_tick_asian,tick_cov_asian,base_obs_sig
2012-01-03,150,3.37079,0.126173,15101,0.913523,0.993,60
2012-01-04,125,1.67785,0.167939,27401,1.6576,1,60
2012-01-05,88,2.2,0.0639731,21122,1.26954,1,60
2012-01-06,234,2.22857,0.306306,17525,1.03778,0.998,60
2012-01-09,83,1.4188,0.0670391,20630,1.19304,0.998,60
2012-01-10,210,3.78378,0.275526,17756,1.00838,1,60
2012-01-11,35,0.769231,0.0158924,18359,1.03583,1,60
2012-01-12,56,1.19149,0.0573913,16746,0.930282,0.993,60
2012-01-13,,,,20453,1.13621,0.995,0
2012-01-16,,,,19732,1.0781,1,0
2012-01-17,86,1.68627,0.0347975,24897,1.36031,0.998,60
2012-01-18,193,3.74757,0.206657,28192,1.52587,1,60
2012-01-19,122,1.79412,0.166667,26649,1.42382,0.998,60
2012-01-20,36,0.666667,0.0835073,19375,1.02524,0.998,60
2012-01-23,119,1.71223,0.102955,14332,0.755967,1,60
2012-01-24,,,,13952,0.735923,0.998,0
2012-01-25,98,1.48485,0.279012,11864,0.625788,0.995,60
2012-01-26,85,1.73469,0.223485,12975,0.68439,0.993,60
2012-01-27,101,1.55385,0.0919081,16348,0.865065,0.998,60
2012-01-30,,,,16875,0.892952,1,0
2012-01-31,66,2.03077,0.0350877,14302,0.7568,0.998,60
2012-02-01,96,1.28859,0.242574,23134,1.22415,1,60
2012-02-02,166,2.04938,0.154286,19421,1.0244,1,60
2012-02-03,58,1.12621,0.152745,11976,0.631412,1,60
2012-02-06,117,1.56,0.130471,19033,1.00348,1,60
2012-02-07,110,1.5942,0.382609,13433,0.706888,0.995,60
2012-02-08,59,1.16832,0.0811966,13401,0.705204,1,60
2012-02-09,65,1.47727,0.0225776,16829,0.887278,1,60
2012-02-10,85,1.55963,0.230769,14912,0.78656,1,60
2012-02-13,242,1.71631,0.348485,17475,0.92175,0.976,60
2012-02-14,174,2.14815,0.340589,16305,0.860036,1,60
2012-02-15,113,1.55862,0.0840046,13065,0.691343,1,60
2012-02-16,113,0.8659,0.0848861,15447,0.830506,1,60
2012-02-17,54,0.885246,0.0620783,11990,0.644641,1,60
