date,n_avail,win_sec,imb,path_eff,srun,mvol,dur_cv,lvl_act,sh_path,sh_srun,sh_mvol,sh_lvl,nan_reason
2012-01-03,15725,4234.66,-0.027389,0.009503,0.000667,0.050732,2.296847,1.0,0.047059,-0.014286,0.528965,1.0,
2012-01-04,37423,2045.765,0.014449,0.038846,-0.001,0.074805,1.742156,0.711,0.539062,0.088235,0.545511,0.781925,
2012-01-05,25064,2852.153,-0.009658,0.018428,-0.000667,0.048485,1.894415,0.999667,0.184466,-0.042553,0.30163,1.0,
2012-01-06,61330,1269.128,0.041459,0.042728,-0.001334,0.081609,1.390597,0.742667,0.307692,0.095238,1.138359,0.890938,
2012-01-09,25807,2757.707,0.002856,0.028052,0.000333,0.037007,1.93355,0.713667,0.1625,0.0,0.343511,0.798333,
2012-01-10,29476,1629.95,0.06513,0.090656,0.001,0.046109,1.627379,0.767,0.573874,0.185185,0.692943,0.740109,
2012-01-11,19602,4081.167,0.000593,0.031892,0.000333,0.043737,1.949915,0.908333,0.216586,-0.029412,0.241539,0.960344,
2012-01-12,17473,3621.959,-0.023286,0.023833,0.001334,0.055315,1.887593,0.627333,0.200174,0.0,0.26125,0.713483,
2012-01-17,25607,2818.249,0.016698,0.022648,0.002334,0.037254,1.818685,1.0,0.22756,-0.021739,0.223242,1.0,
2012-01-18,32467,2937.606,0.004562,0.025178,-0.000333,0.077165,2.261201,1.0,0.268326,0.020833,0.507564,1.0,
2012-01-19,39296,2033.155,0.009484,0.034965,-0.001334,0.038124,1.480576,0.904667,0.267123,-0.060606,0.4,0.97178,
2012-01-20,23621,3140.394,-0.018578,0.012764,0.000667,0.064469,1.975653,0.615667,0.133053,0.038462,0.351322,0.86915,
2012-01-23,23431,3617.651,-0.011746,0.034053,-0.000667,0.055209,1.878351,0.291,0.188873,-0.016667,0.4776,0.325681,
2012-01-25,20838,2826.66,-0.032622,0.041415,-0.000333,0.044089,1.435599,0.164333,0.30977,0.021277,0.387329,0.166446,
2012-01-26,15159,5504.224,0.008892,0.030842,0.0,0.053396,1.438896,0.050667,0.186248,0.0,0.312362,0.060646,
2012-01-27,28554,1982.254,-0.018382,0.010904,-0.000333,0.080962,1.579056,0.538,0.276909,0.0,0.42298,0.674012,
2012-01-31,15898,5336.86,0.000762,0.021868,-0.000333,0.054488,1.805674,0.631667,0.160412,0.022727,0.253731,0.676108,
2012-02-01,35800,1673.94,-0.002759,0.041677,0.000667,0.059408,1.668344,0.213,0.386867,0.111111,0.614094,0.38206,
2012-02-02,30425,1590.382,-0.026232,0.030431,-0.000333,0.062638,1.210108,0.122,0.297107,0.038462,0.738749,0.13342,
2012-02-03,12995,5897.695,0.052542,0.040191,0.000667,0.039825,1.790775,0.084667,0.196741,0.071429,0.234057,0.13935,
2012-02-06,26956,2933.054,-0.00609,0.043531,0.0,0.049921,1.451475,0.114,0.275064,0.0625,0.477611,0.149734,
2012-02-07,28363,3059.928,-0.019103,0.043535,0.001667,0.062843,1.472407,0.114333,0.233367,0.08,0.556054,0.134,
2012-02-08,15042,3290.665,0.008485,0.0385,0.000333,0.048118,1.474809,0.779,0.304107,0.0,0.296623,0.881903,
2012-02-09,17222,4253.291,-0.031514,0.031006,0.000333,0.046608,1.983397,0.818333,0.183389,-0.014286,0.292553,0.874626,
2012-02-10,18642,4344.118,-0.043182,0.032765,-0.000667,0.042495,1.631745,0.396333,0.16657,0.013889,0.327874,0.495389,
2012-02-13,52724,1543.15,-0.060531,0.055033,0.000667,0.06892,1.296224,0.700667,0.398967,0.0,0.830958,0.785974,
2012-02-14,24219,2240.657,-0.054911,0.03838,0.001667,0.056329,1.421025,0.287,0.318892,0.054054,0.573194,0.385479,
2012-02-15,69482,2435.176,-0.060985,0.042951,0.0,0.052471,1.680548,0.178333,0.274484,-0.075,0.527212,0.182299,
2012-02-16,64379,1563.357,-0.027006,0.019004,-0.000333,0.058304,1.098957,0.463667,0.18624,0.076923,0.775597,0.476967,
2012-02-17,16048,4284.117,-0.033832,0.027462,0.000667,0.046366,1.804685,0.634667,0.207948,0.070423,0.205021,0.639322,
2012-02-21,13713,5139.327,0.01402,0.04361,0.002668,0.057951,2.063648,0.568,0.307805,0.0,0.260883,0.589345,
2012-02-23,16370,3447.197,0.01807,0.03795,0.002334,0.048937,1.688731,0.318333,0.231624,0.017544,0.383252,0.361166,
2012-02-24,27912,2544.586,-0.024641,0.031803,-0.001334,0.053077,1.414525,0.162333,0.404233,-0.02381,0.307521,0.286273,
2012-02-29,25306,2324.176,-0.023647,0.041684,-0.001667,0.064221,1.612895,0.206,0.278852,0.0,0.743323,0.31225,
2012-03-02,17390,4074.803,-0.006393,0.030025,-0.001,0.053726,1.96112,0.592333,0.206758,-0.029851,0.381982,0.60858,
2012-03-05,16553,4818.364,-0.058256,0.030071,0.000667,0.045186,1.768772,0.142,0.177764,-0.0125,0.283156,0.240199,
2012-03-06,16938,5716.953,-0.035886,0.020137,-0.001,0.048633,1.767749,0.922667,0.097102,0.0,0.271764,0.949485,
2012-03-07,21148,3226.052,-0.019055,0.018458,0.000667,0.051216,1.249176,0.235667,0.157813,0.056604,0.307878,0.283151,
2012-03-09,59373,974.46,-0.00306,0.087248,0.000667,0.104437,1.098235,0.044667,0.834271,0.375,2.147197,0.079085,
2012-03-13,62260,1311.306,-0.015572,0.013789,0.001,0.084753,1.404026,0.665667,0.237065,0.047619,0.889095,0.915321,
2012-03-14,16408,2577.801,-0.070656,0.018009,0.000333,0.078996,1.78425,0.105,0.204746,0.0,0.593996,0.130406,
2012-03-16,23653,2700.433,-0.037964,0.026269,0.002001,0.053349,1.240739,0.555333,0.224185,0.044444,0.460941,0.665916,
2012-03-19,46734,1181.257,-0.024318,0.020901,-0.000667,0.0896,1.291028,0.169,0.337062,0.052632,1.061724,0.472103,
2012-03-20,47769,1876.781,-0.035032,0.035067,0.001,0.063802,1.325753,0.194667,0.230769,-0.064516,0.683487,0.227482,
2012-03-21,33244,1901.065,-0.020864,0.015128,-0.001334,0.077602,1.39509,0.433667,0.240675,-0.032258,0.525326,0.534471,
2012-03-22,27365,2474.679,-0.053504,0.06175,0.000333,0.066362,1.275088,0.090667,0.466974,0.04878,0.592708,0.167527,
2012-03-26,47595,1253.689,-0.037433,0.072228,-0.001667,0.118532,1.169796,0.299333,0.611618,0.0,1.743722,0.46507,
2012-03-27,13374,5674.261,-0.008197,0.043733,-0.000667,0.038082,1.522981,0.295667,0.280201,0.0,0.174423,0.332891,
2012-03-28,24973,1804.379,0.037322,0.045656,0.001,0.07058,1.1786,0.103,0.54417,0.166667,0.610371,0.157483,
2012-03-29,13547,4768.55,-0.040258,0.007918,0.003001,0.048807,1.742701,0.827,0.069384,0.0,0.202669,0.862092,
2012-04-02,47522,1577.344,0.031094,0.052552,0.001334,0.076987,1.362224,0.177667,0.563991,0.115385,0.791107,0.28618,
2012-04-04,25534,2532.994,-0.010638,0.047293,0.000667,0.049491,1.511855,0.238667,0.371609,0.190476,0.355883,0.316776,
2012-04-09,39310,2076.761,-0.012562,0.049224,0.0,0.073009,1.302316,0.323333,0.424503,0.088235,0.573041,0.334884,
2012-04-10,83923,1218.262,0.028823,0.101489,0.000333,0.08606,1.117525,0.260333,0.928693,0.55,1.234838,0.30302,
2012-04-11,18071,2915.274,0.020379,0.026055,0.000333,0.061256,1.696767,0.309667,0.332381,-0.020833,0.296191,0.420792,
2012-04-12,53202,1616.8,0.023734,0.048442,0.0,0.079107,1.026988,0.167667,0.610035,0.115385,0.666339,0.182756,
2012-04-13,18186,3402.386,-0.023237,0.027514,-0.000667,0.056168,1.558961,0.147333,0.200927,-0.089286,0.33822,0.165896,
2012-04-16,19821,4121.763,-0.001413,0.033947,0.000333,0.057802,1.306775,0.377,0.260176,0.029412,0.244826,0.503647,
2012-04-17,8819,12052.338,-0.044596,0.033984,0.001334,0.034077,16.396103,0.306667,0.18363,0.014286,0.146256,0.332889,
2012-04-18,25420,1792.648,0.001072,0.015675,0.001334,0.08482,1.303839,0.249667,0.31769,0.0,0.421455,0.457807,
2012-04-19,38373,2264.068,-0.034841,0.032899,-0.001334,0.046662,1.31968,0.157,0.325702,0.081081,0.351871,0.193484,
2012-04-20,22780,1588.808,-0.042813,0.034623,0.000667,0.066971,1.096703,0.347333,0.417476,0.076923,0.413917,0.496042,
2012-04-23,14269,3917.856,-0.057174,0.014778,0.001334,0.039862,1.564495,0.082,0.127482,-0.030769,0.219794,0.186407,
2012-04-24,10941,5960.696,-0.018428,0.018172,0.000333,0.033381,1.769061,0.316,0.115242,0.020202,0.152918,0.377109,
2012-04-25,11902,4096.564,-0.029367,0.017939,-0.000667,0.045006,1.850111,0.196,0.191283,0.014706,0.165556,0.222991,
2012-04-26,14920,5267.214,-0.051537,0.020125,0.000333,0.048678,1.532239,0.608,0.165685,0.022989,0.187773,0.689575,
2012-04-27,48326,1977.432,-0.02862,0.029071,0.000333,0.077434,1.353638,0.102667,0.391802,0.09375,0.513417,0.135774,
2012-04-30,6348,16036.612,-0.015795,0.00993,0.0,0.03329,1.632973,0.491,0.040664,0.003774,0.09145,0.588061,
2012-05-01,22235,3832.384,0.037706,0.058965,0.0,0.058577,1.765971,0.01,0.374266,0.015873,0.498913,0.060313,
2012-05-02,41560,1155.874,-0.042125,0.009565,0.000333,0.085781,1.158511,0.725667,0.175478,0.0,0.74613,1.0,
2012-05-03,9697,4689.69,-0.063748,0.016,0.000333,0.039569,1.95045,0.773,0.161972,0.089744,0.159044,0.913531,
2012-05-04,6465,10914.032,-0.017337,0.025387,0.002001,0.043016,1.679347,0.514667,0.168256,-0.016575,0.1096,0.521652,
2012-05-07,57253,1259.162,-0.011624,0.016555,-0.000667,0.104752,1.120147,0.451,0.352882,0.05,0.709214,0.845333,
2012-05-08,7282,11343.677,-0.011005,0.013299,0.0,0.033338,1.597569,0.422,0.071377,0.0,0.113275,0.430086,
2012-05-09,36540,1543.589,-0.001226,0.047358,-0.000333,0.075922,1.182675,0.863667,0.629594,0.08,0.564085,0.883035,
2012-05-10,31117,2361.918,-0.011057,0.034559,-0.000333,0.060247,1.348301,0.407,0.348,0.051282,0.315375,0.426504,
2012-05-11,13849,6667.122,-0.000711,0.035049,-0.001,0.038034,1.61758,0.991,0.187293,-0.009009,0.239404,1.0,
2012-05-14,15051,7419.233,-0.036902,0.035005,-0.000333,0.047874,1.846319,0.130333,0.244764,0.00813,0.182556,0.146981,
2012-05-15,12114,7614.612,-0.011329,0.006797,-0.000333,0.066095,1.705557,0.783333,0.074874,0.0,0.143811,0.878041,
2012-05-16,20518,2836.449,0.01005,0.040787,-0.000333,0.039717,1.541649,0.556,0.331235,0.0,0.369482,0.627756,
2012-05-18,30544,1587.058,-0.014208,0.016607,-0.001667,0.145553,1.510414,0.087,0.304153,-0.076923,0.72114,0.187397,
2012-05-23,25426,2782.655,-0.0404,0.019365,-0.000667,0.095201,1.599799,0.660333,0.309791,0.021739,0.39944,0.802039,
2012-05-24,19196,4565.424,-0.023041,0.017691,0.0,0.083323,1.745845,0.516333,0.225197,0.065789,0.213788,0.544975,
2012-05-28,18502,3667.359,0.034183,0.020709,0.0,0.069197,1.90555,0.929333,0.198413,0.0,0.259059,0.943084,
2012-05-29,23733,2328.853,-0.020592,0.005877,0.0,0.102378,1.706788,0.755667,0.131231,0.026316,0.348987,0.950662,
2012-05-30,62444,1130.159,0.011737,0.031576,0.000333,0.103116,1.51142,0.524667,0.503716,0.0,1.053911,0.696173,
2012-05-31,80512,1097.643,0.018713,0.034829,0.000667,0.10144,1.154217,0.401667,0.590116,0.111111,0.989646,0.427794,
2012-06-01,45579,1817.684,-0.012509,0.002499,0.0,0.12604,1.47574,0.99,0.039823,0.0,0.473434,1.0,
2012-06-04,27033,2698.786,0.061521,0.044546,0.000667,0.077946,1.456666,0.541333,0.446537,0.022727,0.44477,0.667555,
2012-06-06,33178,1587.215,-0.011673,0.03404,0.001,0.131513,1.40871,0.977333,0.543836,0.153846,1.429734,1.0,
2012-06-07,51834,1731.902,0.007401,0.054468,-0.001,0.065539,1.604319,0.320667,0.361569,-0.035714,0.828564,0.393225,
