# w3 dual-exit per-trade record | walker CH-1 exact 1487/1487 | field=SEARCH uncapped+catchup
date,cell,pnl_v4,pnl_run,armed,raised_hit
2012-01-03,FO,14.42,14.42,0,0
2012-01-04,CLEAN|FRESH,-15.75,-15.75,0,0
2012-01-05,FO,-11.91,-11.91,0,0
2012-01-06,POKED|SPENT,-11.13,-11.13,0,0
2012-01-09,FO,-6.81,-6.81,0,0
2012-01-10,CLEAN|FRESH,7.86,7.86,1,0
2012-01-11,FO,2.76,2.76,0,0
2012-01-12,FO,9.78,2.96,1,1
2012-01-17,FO,-7.93,-7.93,0,0
2012-01-18,FO,-14.45,-14.45,0,0
2012-01-19,CLEAN|FRESH,-10.47,-10.47,0,0
2012-01-20,POKED|FRESH,-4.82,-4.82,0,0
2012-01-23,CLEAN|FRESH,3.81,3.81,0,0
2012-01-25,POKED|SPENT,8.57,-4.52,1,1
2012-01-26,CLEAN|FRESH,-7.95,-7.95,0,0
2012-01-27,CLEAN|FRESH,7.96,7.96,1,0
2012-01-31,FO,1,-8.58,1,1
2012-02-01,CLEAN|SPENT,3.37,2.46,1,1
2012-02-02,CLEAN|FRESH,-8.78,-8.78,0,0
2012-02-03,FO,-4.22,-4.22,0,0
2012-02-06,CLEAN|FRESH,0.59,5.37,1,1
2012-02-07,POKED|SPENT,1.09,-6.12,1,1
2012-02-08,FO,-7.05,-7.05,0,0
2012-02-09,FO,3.47,-10.66,1,1
2012-02-10,CLEAN|FRESH,6.65,5.8,1,1
2012-02-13,CLEAN|SPENT,-5.44,-5.44,0,0
2012-02-14,CLEAN|FRESH,-8.18,-8.18,0,0
2012-02-15,FO,1.19,1.19,0,0
2012-02-16,FO,-10.05,-10.05,0,0
2012-02-17,POKED|FRESH,-7.44,-7.44,0,0
2012-02-21,FO,18.6,18.6,1,0
2012-02-23,POKED|SPENT,-4.06,-4.06,0,0
2012-02-24,CLEAN|SPENT,-5.46,-5.46,0,0
2012-02-29,CLEAN|FRESH,-6.71,-6.71,0,0
2012-03-02,POKED|FRESH,1.61,4.65,1,1
2012-03-05,FO,7.64,3.93,1,1
2012-03-06,FO,25.73,24.77,1,1
2012-03-07,POKED|FRESH,-6.92,-6.92,0,0
2012-03-09,CLEAN|SPENT,4.98,4.98,0,0
2012-03-13,FO,10.46,23.66,1,1
2012-03-14,FO,23.82,30.33,1,1
2012-03-16,POKED|FRESH,6.39,-0.81,1,1
2012-03-19,CLEAN|SPENT,-3.09,-3.09,0,0
2012-03-20,FO,2.61,2.61,0,0
2012-03-21,CLEAN|SPENT,-8.65,-8.65,0,0
2012-03-22,CLEAN|FRESH,7.5,-1.19,1,1
2012-03-26,CLEAN|SPENT,18.68,18.68,1,0
2012-03-27,POKED|FRESH,0.43,-4.28,1,1
2012-03-28,CLEAN|SPENT,-5.08,-5.08,0,0
2012-03-29,FO,5.57,-2.69,1,1
2012-04-02,CLEAN|SPENT,1.38,1.38,1,0
2012-04-04,POKED|FRESH,14.2,21.24,1,1
2012-04-09,CLEAN|FRESH,-6.07,-6.07,0,0
2012-04-10,CLEAN|SPENT,3.61,3.61,0,0
2012-04-11,POKED|FRESH,-6.05,-6.05,0,0
2012-04-12,POKED|SPENT,14.35,15.23,1,1
2012-04-13,POKED|FRESH,-5.17,-5.17,0,0
2012-04-16,FO,-11.17,-11.17,0,0
2012-04-17,FO,-5.25,-5.25,0,0
2012-04-18,CLEAN|SPENT,3.85,7.87,1,1
2012-04-19,CLEAN|SPENT,-6.33,-6.33,0,0
2012-04-20,POKED|SPENT,-4.55,-4.55,0,0
2012-04-23,CLEAN|FRESH,12.23,1.15,1,1
2012-04-24,FO,-3.89,-3.89,0,0
2012-04-25,POKED|FRESH,-2.5,-2.5,0,0
2012-04-26,FO,8.74,8.74,1,0
2012-04-27,CLEAN|SPENT,3.32,4.98,1,1
2012-04-30,FO,-2.44,-2.44,0,0
2012-05-01,CLEAN|SPENT,-3.75,-3.75,0,0
2012-05-02,FO,4.83,4.37,1,1
2012-05-03,FO,6.12,10.04,1,1
2012-05-04,FO,3.25,-4.55,1,1
2012-05-07,CLEAN|SPENT,-7.22,-7.22,0,0
2012-05-08,FO,7.25,29.26,1,1
2012-05-09,FO,-5.19,-5.19,0,0
2012-05-10,CLEAN|FRESH,-7.44,-7.44,0,0
2012-05-11,FO,-2.38,-2.38,0,0
2012-05-14,POKED|FRESH,13.32,19.23,1,1
2012-05-15,FO,-6.84,-6.84,0,0
2012-05-16,FO,-12.93,-12.93,0,0
2012-05-18,CLEAN|SPENT,8.04,10.02,1,1
2012-05-23,FO,7.84,-4.88,1,1
2012-05-24,FO,-6.7,-6.7,0,0
2012-05-28,FO,-4.54,-4.54,0,0
2012-05-29,CLEAN|FRESH,-7.78,-7.78,0,0
2012-05-30,CLEAN|SPENT,-0.32,-10.12,1,1
2012-05-31,POKED|SPENT,-5.33,-5.33,0,0
2012-06-01,POKED|FRESH,-10.9,-10.9,0,0
2012-06-04,CLEAN|FRESH,-12.41,-12.41,0,0
2012-06-06,CLEAN|FRESH,-13.29,-13.29,0,0
2012-06-07,POKED|SPENT,-7.67,-7.67,0,0
2012-06-11,CLEAN|FRESH,-5.58,-5.58,0,0
2012-06-12,CLEAN|FRESH,-8.43,-8.43,0,0
2012-06-13,POKED|FRESH,1.71,-2.05,1,1
2012-06-14,CLEAN|FRESH,-8.81,-8.81,0,0
2012-06-15,CLEAN|FRESH,-6.14,-6.14,0,0
2012-06-19,CLEAN|FRESH,-4.88,-4.88,0,0
2012-06-20,POKED|FRESH,11.4,10.64,1,1
2012-06-21,CLEAN|FRESH,7.7,29.8,1,1
2012-06-22,CLEAN|FRESH,-7.9,-7.9,0,0
2012-06-25,CLEAN|FRESH,-9.49,-9.49,0,0
2012-06-27,FO,1.05,-4.77,1,1
2012-06-28,POKED|FRESH,0.67,15.39,1,1
2012-07-02,POKED|FRESH,-2.53,-2.53,0,0
2012-07-03,FO,10.94,10.94,1,0
2012-07-05,CLEAN|FRESH,-4.89,-4.89,0,0
2012-07-06,CLEAN|FRESH,4.63,-6.71,1,1
2012-07-10,CLEAN|FRESH,-5.61,-5.61,0,0
2012-07-12,FO,4.65,-3.82,1,1
2012-07-16,CLEAN|FRESH,-4.13,-4.13,0,0
2012-07-17,CLEAN|FRESH,-7.91,-7.91,0,0
2012-07-18,FO,1.73,0.33,1,1
2012-07-20,POKED|FRESH,-5.16,-5.16,0,0
2012-07-23,FO,-0.38,-0.38,0,0
2012-07-24,CLEAN|FRESH,-4.08,-4.08,0,0
2012-07-25,CLEAN|FRESH,16.62,16.62,1,0
2012-07-26,FO,10.03,9.82,1,1
2012-07-27,FO,7.12,0.48,1,1
2012-07-31,CLEAN|SPENT,-4.7,-4.7,0,0
2012-08-01,CLEAN|SPENT,8.74,8.67,1,1
2012-08-02,CLEAN|SPENT,-4.73,-4.73,0,0
2012-08-03,POKED|SPENT,-3.74,-3.74,0,0
2012-08-06,FO,2.57,2.57,1,0
2012-08-07,CLEAN|FRESH,0.97,-4.1,1,1
2012-08-13,POKED|FRESH,-5.93,-5.93,0,0
2012-08-14,CLEAN|SPENT,9.45,8.35,1,1
2012-08-15,CLEAN|SPENT,2.82,-4.22,1,1
2012-08-16,FO,-4.28,-4.28,0,0
2012-08-17,FO,-4.27,-4.27,0,0
2012-08-20,FO,-4.28,-4.28,0,0
2012-08-21,FO,14.29,14.05,1,1
2012-08-22,FO,1.06,-3.63,1,1
2012-08-23,FO,3.63,3.63,0,0
2012-08-24,CLEAN|SPENT,-5.49,-5.49,0,0
2012-08-30,CLEAN|SPENT,-4.15,-4.15,0,0
2012-08-31,CLEAN|SPENT,-4.98,-4.98,0,0
2012-09-03,POKED|SPENT,-2.45,-2.45,0,0
2012-09-04,CLEAN|SPENT,-6.87,-6.87,0,0
2012-09-06,POKED|FRESH,5.9,0.59,1,1
2012-09-07,CLEAN|SPENT,25.04,25.04,1,0
2012-09-11,CLEAN|FRESH,-1.91,-1.91,0,0
2012-09-12,FO,4.77,-4.68,1,1
2012-09-13,CLEAN|SPENT,-4.27,-4.27,0,0
2012-09-19,FO,-7.83,-7.83,0,0
2012-09-20,FO,-6.45,-6.45,0,0
2012-09-21,POKED|FRESH,4.54,2.87,1,1
2012-09-24,FO,-7.56,-7.56,0,0
2012-09-25,FO,-4.24,-4.24,0,0
2012-09-26,CLEAN|SPENT,11.37,6.64,1,1
2012-09-28,FO,-6.52,-6.52,0,0
2012-10-01,CLEAN|FRESH,11.19,4.89,1,1
2012-10-02,CLEAN|SPENT,-5.01,-5.01,0,0
2012-10-03,FO,0.72,3.16,1,1
2012-10-04,POKED|FRESH,4.9,6.97,1,1
2012-10-09,CLEAN|FRESH,7.15,9.52,1,1
2012-10-10,CLEAN|FRESH,-5.63,-5.63,0,0
2012-10-12,POKED|FRESH,-4.44,-4.44,0,0
2012-10-15,CLEAN|FRESH,3.58,3.58,0,0
2012-10-17,CLEAN|SPENT,-4.67,-4.67,0,0
2012-10-19,FO,13.98,13.98,1,0
2012-10-23,FO,11.43,16.47,1,1
2012-10-24,CLEAN|FRESH,0.19,5.11,1,1
2012-11-01,FO,-4.33,-4.33,0,0
2012-11-02,FO,29.45,29.45,1,0
2012-11-05,CLEAN|FRESH,-8.35,-8.35,0,0
2012-11-07,FO,-20.79,-20.79,0,0
2012-11-08,CLEAN|FRESH,-5.02,-5.02,0,0
2012-11-09,POKED|SPENT,-7.36,-7.36,0,0
2012-11-12,CLEAN|FRESH,-4.7,-4.7,0,0
2012-11-13,CLEAN|SPENT,-7.54,-7.54,0,0
2012-11-14,POKED|FRESH,-5.23,-5.23,0,0
2012-11-15,CLEAN|FRESH,8.78,7.32,1,1
2012-11-16,CLEAN|FRESH,-0.27,-4.47,1,1
2012-11-20,FO,-5.63,-5.63,0,0
2012-11-23,FO,1.03,19.48,1,1
2012-11-28,FO,19.4,19.03,1,1
2012-11-29,FO,-5.47,-5.47,0,0
2012-11-30,CLEAN|SPENT,9.56,9.56,1,0
2012-12-03,CLEAN|SPENT,-6.79,-6.79,0,0
2012-12-04,CLEAN|FRESH,-2.8,-2.8,0,0
2012-12-05,POKED|SPENT,1.55,0.76,1,1
2012-12-06,FO,-9.24,-9.24,0,0
2012-12-07,CLEAN|SPENT,-4.93,-4.93,0,0
2012-12-10,FO,2.13,2.13,1,0
2012-12-11,CLEAN|FRESH,-6.18,-6.18,0,0
2012-12-12,CLEAN|FRESH,2.29,-3.44,1,1
2012-12-13,FO,-5,-5,0,0
2012-12-14,CLEAN|FRESH,-2.47,-2.47,0,0
2012-12-17,FO,-9.63,-9.63,0,0
2012-12-19,CLEAN|SPENT,0.06,0.18,1,1
2012-12-20,CLEAN|SPENT,11.91,15.42,1,1
2013-01-02,FO,3.56,3.56,1,0
2013-01-04,FO,-0.07,-1.86,1,1
2013-01-07,CLEAN|FRESH,4.25,8.07,1,1
2013-01-09,FO,-5.76,-5.76,0,0
2013-01-10,CLEAN|FRESH,7.11,12.28,1,1
2013-01-11,POKED|SPENT,-5.13,-5.13,0,0
2013-01-15,CLEAN|FRESH,3.22,3.22,1,0
2013-01-16,POKED|FRESH,-5.99,-5.99,0,0
2013-01-17,POKED|FRESH,-4.47,-4.47,0,0
2013-01-18,FO,-5.23,-5.23,0,0
2013-01-22,CLEAN|SPENT,-4.05,-4.05,0,0
2013-01-24,CLEAN|FRESH,1.82,8.84,1,1
2013-01-25,CLEAN|SPENT,4.32,4.32,0,0
2013-01-28,POKED|SPENT,0.16,1.89,1,1
2013-01-30,FO,-4.73,-4.73,0,0
2013-02-05,FO,1.9,-5.78,1,1
2013-02-07,POKED|SPENT,-4.75,-4.75,0,0
2013-02-08,CLEAN|SPENT,-5.2,-5.2,0,0
2013-02-11,CLEAN|SPENT,17.48,15.31,1,1
2013-02-12,POKED|FRESH,-6.46,-6.46,0,0
2013-02-13,FO,-4.41,-4.41,0,0
2013-02-14,POKED|FRESH,-4.86,-4.86,0,0
2013-02-15,CLEAN|FRESH,12.65,22.68,1,1
2013-02-18,POKED|FRESH,-1.15,-1.15,0,0
2013-02-19,POKED|FRESH,2.01,3.84,1,1
2013-02-20,POKED|FRESH,9.76,39.47,1,1
2013-02-22,POKED|SPENT,3.27,3.27,0,0
2013-02-25,FO,5.88,5.88,0,0
2013-02-26,CLEAN|SPENT,-7.41,-7.41,0,0
2013-02-28,POKED|FRESH,-4.11,-4.11,0,0
2013-03-01,CLEAN|FRESH,4.25,-7.07,1,1
2013-03-04,FO,2.14,2.14,0,0
2013-03-05,POKED|SPENT,-1.56,-1.56,0,0
2013-03-06,POKED|FRESH,1.83,-5.43,1,1
2013-03-08,POKED|SPENT,9.21,-4.46,1,1
2013-03-12,POKED|FRESH,7.96,7.47,1,1
2013-03-13,CLEAN|SPENT,-2.55,-2.55,0,0
2013-03-15,FO,1.52,-0.58,1,1
2013-03-18,CLEAN|FRESH,-0.9,-0.9,0,0
2013-03-19,CLEAN|SPENT,2.98,4.97,1,1
2013-03-20,POKED|FRESH,-3.59,-3.59,0,0
2013-03-21,FO,2.05,5.12,1,1
2013-03-25,POKED|FRESH,0.3,-3.82,1,1
2013-03-26,POKED|FRESH,-0.4,-0.4,0,0
2013-03-27,POKED|FRESH,1.11,-3.65,1,1
2013-04-03,CLEAN|SPENT,1.65,1.65,0,0
2013-04-04,POKED|FRESH,-12.58,-12.58,0,0
2013-04-09,CLEAN|FRESH,7.88,7.88,1,0
2013-04-10,POKED|FRESH,-4.16,-4.16,0,0
2013-04-12,CLEAN|SPENT,7.58,51.68,1,1
2013-04-15,CLEAN|FRESH,61.67,61.67,1,0
