# w7_run_trades.csv per-trade dual-exit record | field=SEARCH
date,cell,pnl_v4,pnl_ts,uw30,d30,armed
2012-01-03,FO,14.42,14.42,0,1.0000,0
2012-01-04,CLEAN|FRESH,-15.75,-2.95,1,-2.9500,0
2012-01-05,FO,-11.91,-11.91,0,2.3500,0
2012-01-06,POKED|SPENT,-11.13,-11.13,,,0
2012-01-09,FO,-6.81,-6.81,0,1.5500,0
2012-01-10,CLEAN|FRESH,7.86,-2.34,1,-2.3400,1
2012-01-11,FO,2.76,2.76,0,5.9300,0
2012-01-12,FO,9.78,-0.61,1,-0.6100,1
2012-01-17,FO,-7.93,-0.96,1,-0.9600,0
2012-01-18,FO,-14.45,-1.5,1,-1.5000,0
2012-01-19,CLEAN|FRESH,-10.47,-0.37,1,-0.3700,0
2012-01-20,POKED|FRESH,-4.82,-0.88,1,-0.8800,0
2012-01-23,CLEAN|FRESH,3.81,-0.75,1,-0.7500,0
2012-01-25,POKED|SPENT,8.57,8.57,0,5.7500,1
2012-01-26,CLEAN|FRESH,-7.95,-3.12,1,-3.1200,0
2012-01-27,CLEAN|FRESH,7.96,7.96,0,0.4900,1
2012-01-31,FO,1,-1.14,1,-1.1400,1
2012-02-01,CLEAN|SPENT,3.37,3.37,0,0.1000,1
2012-02-02,CLEAN|FRESH,-8.78,-4.05,1,-4.0500,0
2012-02-03,FO,-4.22,-2.92,1,-2.9200,0
2012-02-06,CLEAN|FRESH,0.59,0.59,0,6.6300,1
2012-02-07,POKED|SPENT,1.09,1.09,0,2.3700,1
2012-02-08,FO,-7.05,-7.05,0,0.8200,0
2012-02-09,FO,3.47,3.47,0,1.5500,1
2012-02-10,CLEAN|FRESH,6.65,6.65,0,13.0000,1
2012-02-13,CLEAN|SPENT,-5.44,-1.85,1,-1.5000,0
2012-02-14,CLEAN|FRESH,-8.18,-1.68,1,-1.3300,0
2012-02-15,FO,1.19,-1.3,1,-1.3000,0
2012-02-16,FO,-10.05,-10.05,0,0.7400,0
2012-02-17,POKED|FRESH,-7.44,-2.09,1,-2.0900,0
2012-02-21,FO,18.6,18.6,0,1.6500,1
2012-02-23,POKED|SPENT,-4.06,-4.06,0,0.0900,0
2012-02-24,CLEAN|SPENT,-5.46,-1.89,1,-1.8900,0
2012-02-29,CLEAN|FRESH,-6.71,-6.71,,,0
2012-03-02,POKED|FRESH,1.61,1.61,0,1.7000,1
2012-03-05,FO,7.64,-1.61,1,-1.2500,1
2012-03-06,FO,25.73,25.73,0,0.8500,1
2012-03-07,POKED|FRESH,-6.92,-4.46,1,-4.1000,0
2012-03-09,CLEAN|SPENT,4.98,4.98,0,1.3500,0
2012-03-13,FO,10.46,10.46,0,0.1200,1
2012-03-14,FO,23.82,23.82,0,0.4200,1
2012-03-16,POKED|FRESH,6.39,6.39,0,2.3000,1
2012-03-19,CLEAN|SPENT,-3.09,-3.09,0,1.3000,0
2012-03-20,FO,2.61,-1.47,1,-1.1200,0
2012-03-21,CLEAN|SPENT,-8.65,-2.18,1,-1.8500,0
2012-03-22,CLEAN|FRESH,7.5,7.5,0,1.8100,1
2012-03-26,CLEAN|SPENT,18.68,18.68,0,4.1800,1
2012-03-27,POKED|FRESH,0.43,-1.61,1,-1.6100,1
2012-03-28,CLEAN|SPENT,-5.08,-1.14,1,-1.1400,0
2012-03-29,FO,5.57,-1.3,1,-0.9400,1
2012-04-02,CLEAN|SPENT,1.38,1.38,0,3.8100,1
2012-04-04,POKED|FRESH,14.2,14.2,0,4.4800,1
